tender,winner,tender_cost,title,author,amount,cost,image
UA-2022-12-30-002295-a,ТОВ «Видавництво Фоліо»,220 тис. грн,10 розмов про давню історію України,"Данило Яневський, Олександр Красовицький",1000,313,https://ngl.media/wp-content/uploads/2024/11/b01.png
UA-2022-12-30-001886-a,ТОВ «Видавництво Фоліо»,220 тис. грн,10 розмов про давню історію України (2-ге видання),"Андрій Красножон, Олександр Красовицький",1000,306,https://ngl.media/wp-content/uploads/2024/11/b02.png
UA-2022-12-30-001115-a,ТОВ «Видавництво Фоліо»,190 тис. грн,"Одна Україна, єдиний народ. Бесіди з Леонідом Кравчуком","Леонід Кравчук, Олександр Красовицький",1000,390,https://ngl.media/wp-content/uploads/2024/11/b03.png
UA-2022-12-27-008366-a,ТОВ Фоліо,750 тис. грн,Хроніка війни 2014-2022. Перші півроку повномасштабної агресії (+ англ.),"Вікто Вороніні, упорядник Олександр Красовицький",2000,420,https://ngl.media/wp-content/uploads/2024/11/b04.png
UA-2022-12-27-008127-a,ТОВ Фоліо,220 тис. грн,Щоденник агресії,Андрій Курков,1000,320,https://ngl.media/wp-content/uploads/2024/11/b05.png
UA-2022-12-30-001700-a,ТОВ «Видавництво Фоліо»,190 тис. грн,Журналісти на війні,Михайло Сорока,1000,220,https://ngl.media/wp-content/uploads/2024/11/b06.png
UA-2022-12-27-006979-a,ТОВ Фоліо,365 тис. грн,Чернігів. Чотирикутник єдності (+ англ.),Дар'я Бура,2000,240/350 ,https://ngl.media/wp-content/uploads/2024/11/b07.png
UA-2022-12-27-007224-a,ТОВ Фоліо,700 тис. грн,Битва за Харків (+ англ.),"Дар'я Бура, Юрій Бутусов",2000,382,https://ngl.media/wp-content/uploads/2024/11/b08.png
UA-2022-12-27-006738-a,ТОВ Фоліо,365 тис. грн,"Міста-герої Буча, Ірпінь, Гостомель (+ англ.)",Євгенія Подобна,2000,274/298,https://ngl.media/wp-content/uploads/2024/11/b09.png
UA-2022-12-27-008709-a,"ТОВ «Видавництво ""Саміт-книга""»",398 тис. грн,Феномен Григорія Сковороди і сковородиністика на позвах часу,"Михайло Чайковський, Віталій Шевченко",1000,–,https://ngl.media/wp-content/uploads/2024/11/b10.png
UA-2022-12-27-008912-a,"ТОВ «Видавництво ""Саміт-книга""»",495 тис. грн,Битва за Ірпінь,Петро Щербина,1000,660,https://ngl.media/wp-content/uploads/2024/11/b11.png
UA-2022-12-27-009121-a,"ТОВ «Видавництво ""Саміт-книга""»",650 тис. грн,Сковорода і Ми,Олесь Доній,1000,–,https://ngl.media/wp-content/uploads/2024/11/b12.png
UA-2022-12-27-010289-a,"ТОВ «Креативна агенція ""Артіль""»",267 тис. грн,Абетка маленьких переможців,"Команда авторів (Видавництво ""Саміт-книга"")",1000,230,https://ngl.media/wp-content/uploads/2024/11/b13.png
UA-2022-12-27-009246-a,"ТОВ «Креативна агенція ""Артіль""»",210 тис. грн,Залізна евакуація,Адрій Пермяков,1000,300,https://ngl.media/wp-content/uploads/2024/11/b14.png
UA-2022-12-30-000972-a,"ТОВ «Видавництво ""Кліо""»","1,4 млн. грн",За ідентичність і Незалежність. Війна Росії проти України (том 1 + том 2),"Олексій Ясь, Геннадій Боряк",2000,950,https://ngl.media/wp-content/uploads/2024/11/b15.png
UA-2022-12-30-001487-a,ТОВ «Факт»,110 тис. грн,Євген Коновалець,"Ігор Коляда, Руслан Куцик",1000,135,https://ngl.media/wp-content/uploads/2024/11/b16.png
UA-2022-12-30-002542-a,"ТОВ «Виробничо-комерційне підприємство ""Орбіта""»",380 тис. грн,Книга Мандрівка до потойбіччя. Маріуполь,Євген Шишацький,1000,157,https://ngl.media/wp-content/uploads/2024/11/b17.png
UA-2022-12-27-007846-a,ТОВ «Бібколектор»,320 тис. грн,Історія України в мапах,Олександр Красовицький,2000,320,https://ngl.media/wp-content/uploads/2024/11/b18.png
UA-2023-12-07-020959-a,"ТОВ «Видавництво ""Саміт-книга""»","1,2 млн. грн",Як російський інформаційний корабель пішов на... Наративи пропаганди під час повномасштабної війни,Центр стратегічних комунікацій та інформаційної безпеки,3000,–,https://ngl.media/wp-content/uploads/2024/11/b19.png
UA-2023-12-26-012940-a,"ТОВ «Видавництво ""Саміт-книга""»",696 тис. грн,Світи Марії Примаченко,Катерина Костенко,1000,–,https://ngl.media/wp-content/uploads/2024/11/b_no.png
UA-2023-12-26-012160-a,"ТОВ «Видавництво ""Саміт-книга""»",596 тис. грн,Книга Бахмут. Хроніки незламної фортеці,Євгенія Богославська,1000,501,https://ngl.media/wp-content/uploads/2024/11/b21.png
UA-2023-12-26-012712-a,"ТОВ «Видавництво ""Саміт-книга""»",566 тис. грн,Гвардія наступу. Самовидець,Тимур Нагалевський,1000,–,https://ngl.media/wp-content/uploads/2024/11/b22.png
UA-2023-11-13-008254-a,"ТОВ «Видавництво ""Саміт-книга""»",357 тис. грн,«Війна епохи постмодерну. Випробування вогнем».,Михайло Сидоржевський,1000,–,https://ngl.media/wp-content/uploads/2024/11/b23.png
UA-2023-11-13-006557-a,"ТОВ «Видавництво ""Саміт-книга""»",351 тис. грн,Римова. Час війни,Упорядниця Юлія Береко-Камінська,1000,–,https://ngl.media/wp-content/uploads/2024/11/b24.png
UA-2023-12-26-015453-a,"ПП «Видавничий дім журналу ""Пам'ятки України""»",600 тис. грн,Сторозтерзаний ворогом Харків. 2022-2023,Фотосвідчення Вадима Бєлікова,1000,1000,https://ngl.media/wp-content/uploads/2024/11/b25.png
UA-2023-12-26-014880-a,"ПП «Видавничий дім журналу ""Пам'ятки України""»",593 тис. грн,Архітектурні шедеври України. Книга 1. Київ і столична область,Максим Рітус,1000,1000,https://ngl.media/wp-content/uploads/2024/11/b26.png
UA-2023-12-26-014811-a,"ПП «Видавничий дім журналу ""Пам'ятки України""»",501 тис. грн,Україна в обіймах Польщі. Реалії і пророцтва,Юрій Щербак,1000,693,https://ngl.media/wp-content/uploads/2024/11/b27.png
UA-2023-12-27-000016-a,"ТОВ «Креативна агенція ""Артіль""»",552 тис. грн,Нематеріальна культурна спадщина як найголовніший інструмент збереження української нації,"Влада Литовченко, Валентина Демʼян, Клопотенко Євген",1000,–,https://ngl.media/wp-content/uploads/2024/11/b28.png
UA-2023-11-13-010320-a,"ТОВ «Креативна агенція ""Артіль""»",253 тис. грн,"«Слава Україні!» (інтерактивна книга підлітків)","Упорядники: Ігор Степурін, Василь Котляров",1000,–,https://ngl.media/wp-content/uploads/2024/11/b_no.png
UA-2023-11-13-009957-a,"ТОВ «Креативна агенція ""Артіль""»",210 тис. грн,Пустеля. Голодомор. Український південь,Віра Марущак,1000,–,https://ngl.media/wp-content/uploads/2024/11/b30.png
UA-2023-12-27-000011-a,"ТОВ «Креативна агенція ""Артіль""»",238 тис. грн,"Поминальний хліб. Хліб, який їдять після смерті",Ірина Рачковська,1000,–,https://ngl.media/wp-content/uploads/2024/11/b31.png
UA-2023-12-26-013176-a,ФОП Ротарчук Іван Сергійович,389 тис. грн,Сім повернень назавжди. Запах ворога,Михайло Іллєнко,1000,–,https://ngl.media/wp-content/uploads/2024/11/b32.png
UA-2023-12-26-013423-a,ФОП Ротарчук Іван Сергійович,641 тис. грн,Українська булава,Олександр Рудяченко,1000,–,https://ngl.media/wp-content/uploads/2024/11/b33.png
UA-2023-12-26-016212-a,ФОП Ротарчук Іван Сергійович,362 тис. грн,"Григорій Сковорода. Той, чия совість як чистий кришталь","Володимир Петровський, Світлана Петровська",1000,–,https://ngl.media/wp-content/uploads/2024/11/b34.png
UA-2023-11-13-008480-a,ФОП Ротарчук Іван Сергійович,263 тис. грн,Буча. Розстріляна весна,Сергій Куліда,1000,–,https://ngl.media/wp-content/uploads/2024/11/b35.png
UA-2023-12-26-013625-a,ФОП Ротарчук Іван Сергійович,357 тис. грн,Андрій Мельник: невивчені уроки,Костянтин Бондаренко,1000,–,https://ngl.media/wp-content/uploads/2024/11/b_no.png
UA-2023-11-13-009291-a,ФОП Степурін Ігор Миколайович,287 тис. грн,Маленькі казки великих патріотів,Володимир Вакуленко,1000,400,https://ngl.media/wp-content/uploads/2024/11/b37.png
UA-2023-11-13-008769-a,ФОП Степурін Ігор Миколайович,561 тис. грн,Бахмутська балада. Фото з війни,–,1000,–,https://ngl.media/wp-content/uploads/2024/11/b38.png
UA-2023-11-13-009059-a,ФОП Степурін Ігор Миколайович,212 тис. грн,"Дайте, мамо, гами… Словник Голодомору",Олекса Різников,1000,–,https://ngl.media/wp-content/uploads/2024/11/b39.png
UA-2023-12-26-015192-a,ТОВ «Бібколектор»,280 тис. грн,Війна і ми. Лікарі на війні,Василь Князевич,1000,326,https://ngl.media/wp-content/uploads/2024/11/b40.png
UA-2023-11-15-007516-a,ТОВ «Бібколектор»,220 тис. грн,Щоденник агресії. Книга 2,Андрій Курков,1000,340,https://ngl.media/wp-content/uploads/2024/11/b41.png
UA-2023-12-26-015249-a,ТОВ Фоліо,270 тис. грн,10 розмов про середньовічну історію України,"Андрій Красножон, Олександр Красовицький",1000,306,https://ngl.media/wp-content/uploads/2024/11/b42.png
UA-2023-12-26-015412-a,ТОВ «Видавництво Фоліо»,410 тис. грн,Дума про потилицю,Олександр Семякін,1000,240,https://ngl.media/wp-content/uploads/2024/11/b43.png
UA-2023-12-27-006203-a,ТОВ Фоліо,220 тис. грн,Маріуполь. Вихід з пекла,Сергій Духно,1000,130,https://ngl.media/wp-content/uploads/2024/11/b44.png
UA-2023-12-26-015305-a,ТОВ Фоліо,220 тис. грн,Кримськотатарські родини,Євгенія Генова,1000,237,https://ngl.media/wp-content/uploads/2024/11/b45.png
UA-2023-12-26-015378-a,ТОВ «Видавництво Фоліо»,220 тис. грн,Пропаганда 2023. Інформаційні війни під час російської агресії,Ален Бобров,1000,210,https://ngl.media/wp-content/uploads/2024/11/b46.png
UA-2023-12-27-000006-a,ТОВ «Ваш автограф»,262 тис. грн,Генерал-хорунжий УПА Шухевич,Рогожа В.Д.,1000,–,https://ngl.media/wp-content/uploads/2024/11/b47.png
UA-2023-11-13-009676-a,ТОВ «Ваш автограф»,213 тис. грн,Браво. Найсміливіше лисеня у світі,Вадим Воротинський,1000,–,https://ngl.media/wp-content/uploads/2024/11/b48.png
UA-2023-12-26-016250-a,ТОВ «Ваш автограф»,236 тис. грн,"Хроніки незламності духу (геноцид, етноцид, лінгвоцид української нації)",Василь Лизанчук,1000,–,https://ngl.media/wp-content/uploads/2024/11/b49.png
UA-2023-12-26-014726-a,Фундація Героя України академіка П.Тронька,468 тис. грн,"Зранене серце. Примари вожнного світу. Есеї, новели, відсвіти",Влад Дядин,1000,461,https://ngl.media/wp-content/uploads/2024/11/b50.png
UA-2023-12-26-014624-a,Фундація Героя України академіка П.Тронька,791 тис. грн,Скарби національного музею народної архітектури та побуту України,Оксана Старак-Повякель,1000,950,https://ngl.media/wp-content/uploads/2024/11/b51.png
UA-2023-05-10-004187-a,ФОП Костенко Юрій Юрійович,573 тис. грн,"Дитячий патріотичний комікс ""Пригоди Микитки 3""",Юрій Костенко,1000,399,https://ngl.media/wp-content/uploads/2024/11/b52.png
UA-2023-12-26-014505-a,"ТОВ ""Факт""",115 тис. грн,Княгиня Ольга,Ростислав Коломієць,1000,114,https://ngl.media/wp-content/uploads/2024/11/b53.png
UA-2023-11-13-011956-a,ТОВ К.І.С.,141 тис. грн,Що Голодомор має навчити українців? Історичні паралелі між Голодомором і нинішньою російською агресією та геноцидом,Віталій Огієнко,1000,–,https://ngl.media/wp-content/uploads/2024/11/b54.png
UA-2023-11-13-011519-a,"ТОВ «Друкарня ""Літера""»",87 тис. грн,Рашизм - це...,"Колектив авторів, редактор - Максим Майоров",1000,–,https://ngl.media/wp-content/uploads/2024/11/b55.png
UA-2023-12-04-017852-a,"ТОВ «Видавництво ""Ранок""»",278 тис. грн,Історії про життя ще 50 українців та українок,Анастасія Саєнко,1000,280,https://ngl.media/wp-content/uploads/2024/11/b56.png
UA-2023-12-26-014933-a,ГО «Міжнародний інститут українознавчих студій: екологія та культура»,576 тис. грн,Революція Гідності: Чорна меса. Внутрішні і зовнішні загрози,Павло Романюк,1000,600,https://ngl.media/wp-content/uploads/2024/11/b57.png
UA-2023-11-13-010559-a,"ТОВ «Видавництво ""Моя книжкова полиця""»",510 тис. грн,Залізниця. Несподівана історія української колії,Людмила Ільчук,?,–,https://ngl.media/wp-content/uploads/2024/11/b_no.png
UA-2023-05-15-002574-a,ТОВ «Грін пінгвін медіа»,475 тис. грн,Why Ukraine is brave?/Чому Україна смілива,–,?,–,https://ngl.media/wp-content/uploads/2024/11/b_no.png